title,description,tags
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
"The Ultimate Drawing Course - Beginner to Advanced","Learn the #1 most important building block of all art","Drawing;Figure Drawing;Cartoon Drawing;Digital Art;Pixel Art"
"Learn 3D Modelling - The Complete Blender Creator Course","Use Blender to create beautiful 3D models for video games, 3D printing, house design etc. No prior knowledge required.","3D Game Development;3D Animation;3D Modeling;Blender"
"Character Art School: Complete Character Drawing","The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.","Character Design;Digital Art;Pixel Art;Drawing;Figure Drawing;Cartoon Drawing;3D Animation"
"After Effects CC 2018: Complete Course from Novice to Expert","After Effects CC 2018 - The Best Adobe After Effects CC Course. Design Professional Motion Graphics & Visual Effects","After Effects;Adobe Illustrator;Motion Graphics"
"WordPress Theme Development with Bootstrap","Learn how to confidently develop custom & profitable Responsive WordPress Themes and Websites with no prior experience.","WordPress;WordPress for Ecommerce;Bootstrap"
"Illustrator CC 2018 MasterClass","Master Adobe Illustrator CC with this in-depth training for all levels.","Adobe Illustrator"
"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","User Interface"
"Graphic Design Bootcamp","Learn the essentials of Photoshop, Illustrator, and InDesign while designing real-world projects","Photoshop;Adobe Illustrator;InDesign"
"Wordpress for Beginners - Master Wordpress Quickly","In 2018, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.","WordPress;WordPress for Ecommerce"
"Adobe Illustrator: Mastering the Fundamentals","Learn powerful illustration techniques in Adobe Illustrator master digital painting and graphic design with new skills!","Adobe Illustrator;Procreate Digital Illustration App;Digital Art;Digital Painting"
"User Experience Design Fundamentals","Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.","User Interface"
"Photoshop Beginners Mastery: Zero to Hero in Photoshop","Become a Photoshop hero by learning the essentials of Adobe Photoshop to produce beautiful images in Adobe Photoshop.","Photoshop;Machine Learning;Deep learning;Mathematics for Machine Learning;Adobe Illustrator"
